AllResult,SumOfWinNum
"01,02,03,04,05",44952.965
"01,02,03,04,06",43049.865
"01,02,03,04,07",41448.065
"01,02,03,04,08",40417.345
"01,02,03,04,09",40514.895
"01,02,03,04,10",40416.345
"01,02,03,04,11",40408.745
"01,02,03,05,06",42405.365
"01,02,03,05,07",40742.265
"01,02,03,05,08",39666.695
"01,02,03,05,09",39809.095
"01,02,03,05,10",39665.695
"01,02,03,05,11",39702.945
"01,02,03,06,07",38794.315
"01,02,03,06,08",37763.595
"01,02,03,06,09",37861.145
"01,02,03,06,10",37762.595
"01,02,03,06,11",37754.995
"01,02,03,07,08",36161.795
"01,02,03,07,09",36304.195
"01,02,03,07,10",36160.795
"01,02,03,07,11",36198.045
"01,02,03,08,09",35313.545
"01,02,03,08,10",35214.995
"01,02,03,08,11",35207.395
"01,02,03,09,10",35313.545
"01,02,03,09,11",35350.795
"01,02,03,10,11",35143.705
"01,02,04,05,06",34267.895
"01,02,04,05,07",32103.5
"01,02,04,05,08",31370
"01,02,04,05,09",31170.33
"01,02,04,05,10",31071.78
"01,02,04,05,11",31064.18
"01,02,04,06,07",30200.4
"01,02,04,06,08",36711.28
"01,02,04,06,09",29267.23
"01,02,04,06,10",29279.78
"01,02,04,06,11",29161.08
"01,02,04,07,08",27567.88
"01,02,04,07,09",27665.43
"01,02,04,07,10",27566.88
"01,02,04,07,11",27559.28
"01,02,04,08,09",26719.63
"01,02,04,08,10",26732.18
"01,02,04,08,11",26613.48
"01,02,04,09,10",26719.63
"01,02,04,09,11",26712.03
"01,02,04,10,11",26585.26
"01,02,05,06,07",30290.51
"01,02,05,06,08",29557.01
"01,02,05,06,09",29357.34
"01,02,05,06,10",29258.79
"01,02,05,06,11",29251.19
"01,02,05,07,08",27551.84
"01,02,05,07,09",27694.24
"01,02,05,07,10",27550.84
"01,02,05,07,11",27588.09
"01,02,05,08,09",26703.59
"01,02,05,08,10",26605.04
"01,02,05,08,11",26597.44
"01,02,05,09,10",26703.59
"01,02,05,09,11",26740.84
"01,02,05,10,11",26577.66
"01,02,06,07,08",25646.75
"01,02,06,07,09",25744.3
"01,02,06,07,10",25645.75
"01,02,06,07,11",25638.15
"01,02,06,08,09",24798.5
"01,02,06,08,10",24811.05
"01,02,06,08,11",24692.35
"01,02,06,09,10",24798.5
"01,02,06,09,11",24790.9
"01,02,06,10,11",24674.56
"01,02,07,08,09",23198.69
"01,02,07,08,10",23100.14
"01,02,07,08,11",23092.54
"01,02,07,09,10",23198.69
"01,02,07,09,11",23235.94
"01,02,07,10,11",23072.76
"01,02,08,09,10",22261.33
"01,02,08,09,11",22253.73
"01,02,08,10,11",22126.96
"01,02,09,10,11",22225.51
"01,03,04,05,06",34684.895
"01,03,04,05,07",32862.57
"01,03,04,05,08",31787
"01,03,04,05,09",31929.4
"01,03,04,05,10",31786
"01,03,04,05,11",31823.25
"01,03,04,06,07",30914.62
"01,03,04,06,08",29883.9
"01,03,04,06,09",29981.45
"01,03,04,06,10",29882.9
"01,03,04,06,11",29875.3
"01,03,04,07,08",28282.1
"01,03,04,07,09",28424.5
"01,03,04,07,10",28281.1
"01,03,04,07,11",28318.35
"01,03,04,08,09",27433.85
"01,03,04,08,10",27335.3
"01,03,04,08,11",27327.7
"01,03,04,09,10",27433.85
"01,03,04,09,11",27471.1
"01,03,04,10,11",27299.48
"01,03,05,06,07",30943.43
"01,03,05,06,08",29867.86
"01,03,05,06,09",30010.26
"01,03,05,06,10",29866.86
"01,03,05,06,11",29904.11
"01,03,05,07,08",28204.76
"01,03,05,07,09",28993.66
"01,03,05,07,10",28203.76
"01,03,05,07,11",28887.51
"01,03,05,08,09",27356.51
"01,03,05,08,10",27213.11
"01,03,05,08,11",27250.36
"01,03,05,09,10",27356.51
"01,03,05,09,11",28040.26
"01,03,05,10,11",27230.58
"01,03,06,07,08",26254.82
"01,03,06,07,09",26397.22
"01,03,06,07,10",26253.82
"01,03,06,07,11",26291.07
"01,03,06,08,09",25406.57
"01,03,06,08,10",25308.02
"01,03,06,08,11",25300.42
"01,03,06,09,10",25406.57
"01,03,06,09,11",25443.82
"01,03,06,10,11",25282.63
"01,03,07,08,09",23851.61
"01,03,07,08,10",23708.21
"01,03,07,08,11",23745.46
"01,03,07,09,10",23851.61
"01,03,07,09,11",24535.36
"01,03,07,10,11",23725.68
"01,03,08,09,10",22869.4
"01,03,08,09,11",22906.65
"01,03,08,10,11",22735.03
"01,03,09,10,11",22878.43
"01,04,05,06,07",33485.625
"01,04,05,06,08",32752.125
"01,04,05,06,09",32552.455
"01,04,05,06,10",32453.905
"01,04,05,06,11",32446.305
"01,04,05,07,08",30587.73
"01,04,05,07,09",30730.13
"01,04,05,07,10",30586.73
"01,04,05,07,11",30623.98
"01,04,05,08,09",29739.48
"01,04,05,08,10",29640.93
"01,04,05,08,11",29633.33
"01,04,05,09,10",29739.48
"01,04,05,09,11",29776.73
"01,04,05,10,11",29613.55
"01,04,06,07,08",28682.64
"01,04,06,07,09",28780.19
"01,04,06,07,10",28681.64
"01,04,06,07,11",28674.04
"01,04,06,08,09",27834.39
"01,04,06,08,10",27846.94
"01,04,06,08,11",27728.24
"01,04,06,09,10",27834.39
"01,04,06,09,11",27826.79
"01,04,06,10,11",27710.45
"01,04,07,08,09",26234.58
"01,04,07,08,10",26136.03
"01,04,07,08,11",26128.43
"01,04,07,09,10",26234.58
"01,04,07,09,11",26271.83
"01,04,07,10,11",26108.65
"01,04,08,09,10",25297.22
"01,04,08,09,11",25289.62
"01,04,08,10,11",25162.85
"01,04,09,10,11",25261.4
"01,05,06,07,08",28781.19
"01,05,06,07,09",28923.59
"01,05,06,07,10",28780.19
"01,05,06,07,11",28817.44
"01,05,06,08,09",27932.94
"01,05,06,08,10",27834.39
"01,05,06,08,11",27826.79
"01,05,06,09,10",27932.94
"01,05,06,09,11",27970.19
