Result,SumOfWinNum
111,1813.84
112,182.096
113,119.816
114,406.324
115,393.844
116,386.724
117,35.132
118,34.014
119,34.014
120,418.762
121,182.096
122,119.816
123,297.45
124,238.134
125,231.014
126,228.184
127,58.922
128,58.922
129,60.04
130,169.642
131,119.816
132,250.614
133,82.444
134,231.014
135,228.184
136,227.066
137,58.922
138,60.04
139,62.87
140,107.362
141,406.324
142,238.134
143,231.014
144,72.494
145,227.066
146,227.066
147,60.04
148,62.87
149,69.99
150,82.47
151,393.844
152,231.014
153,228.184
154,227.066
155,71.376
156,228.184
157,62.87
158,69.99
159,82.47
160,69.99
161,386.724
162,228.184
163,227.066
164,227.066
165,228.184
166,75.324
167,69.99
168,82.47
169,107.362
170,25.508
171,35.132
172,58.922
173,58.922
174,60.04
175,62.87
176,69.99
177,45.108
178,70
179,132.28
180,22.678
181,34.014
182,58.922
183,60.04
184,62.87
185,69.99
186,82.47
187,70
188,132.28
189,381.4
190,21.56
191,34.014
192,60.04
193,62.87
194,69.99
195,82.47
196,107.362
197,132.28
198,381.4
199,7.72
200,7.72
201,418.762
202,144.734
203,107.362
204,82.47
205,69.99
206,62.87
207,22.678
208,21.56
209,21.56
210,418.762
211,182.096
212,119.816
213,250.614
214,238.134
215,231.014
216,228.184
217,58.922
218,58.922
219,60.04
220,144.734
221,119.816
222,1477.548
223,82.444
224,386.724
225,383.894
226,382.776
227,34.014
228,35.132
229,37.962
230,107.362
231,250.614
232,82.444
233,75.324
234,275.02
235,227.066
236,227.066
237,60.04
238,62.87
239,69.99
240,82.47
241,238.134
242,386.724
243,228.184
244,71.376
245,227.066
246,228.184
247,62.87
248,69.99
249,82.47
250,69.99
251,231.014
252,383.894
253,227.066
254,227.066
255,72.494
256,231.014
257,69.99
258,82.47
259,107.362
260,62.87
261,228.184
262,382.776
263,227.066
264,228.184
265,231.014
266,82.444
267,82.47
268,107.362
269,169.642
270,22.678
271,58.922
272,34.014
273,60.04
274,62.87
275,69.99
276,82.47
277,70
278,132.28
279,381.4
280,21.56
281,58.922
282,35.132
283,62.87
284,69.99
285,82.47
286,107.362
287,132.28
288,381.4
289,7.72
290,21.56
291,60.04
292,37.962
293,69.99
294,82.47
295,107.362
296,169.642
297,381.4
298,7.72
299,7.72
300,381.4
301,169.642
302,107.362
303,57.562
304,69.99
305,62.87
306,60.04
307,21.56
308,21.56
309,22.678
310,169.642
311,119.816
312,250.614
313,82.444
314,231.014
315,228.184
316,227.066
317,58.922
318,60.04
319,62.87
320,107.362
321,250.614
322,82.444
323,75.324
324,228.184
325,227.066
326,227.066
327,60.04
328,62.87
329,69.99
330,57.562
331,82.444
332,75.324
333,1455.118
334,382.776
335,382.776
336,383.894
337,37.962
338,45.082
339,57.562
340,69.99
341,231.014
342,228.184
343,382.776
344,71.376
345,275.02
346,231.014
347,69.99
348,82.47
349,107.362
350,62.87
351,228.184
352,227.066
353,382.776
354,228.184
355,75.324
356,238.134
357,82.47
358,107.362
359,169.642
360,60.04
361,227.066
362,227.066
363,383.894
364,231.014
365,238.134
366,94.924
367,107.362
368,169.642
369,418.762
370,21.56
371,58.922
372,60.04
373,37.962
374,69.99
375,82.47
376,107.362
377,132.28
