BetRange,PlayType,betContent,Multiple,amount
一星,复式,"0 1 2 3 4 5 6 7 8 9,0 1 2 3 4 5 6 7 8 9,0 1 2 3 4 5 6 7 8 9,0 1 2 3 4 5 6 7 8 9,0 1 2 3 4 5 6 7 8 9",2,1
前二,直选复式,"0 1 2 3 4 5 6 7 8 9,0 1 2 3 4 5 6 7 8 9",3,1
前二,直选单式,"23,98,47,81",4,1
前二,直选和值,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18,2,1
前二,跨度,0 1 2 3 4 5 6 7 8 9,1,1
前二,组选复式,0 1 2 3 4 5 6 7 8 9,5,1
前二,组选单式,"01,02,03,18",2,1
前二,组选和值,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17,3,1
前二,组选包胆,1,4,1
后二,直选复式,"0 1 2 3 4 5 6 7 8 9,0 1 2 3 4 5 6 7 8 9",5,1
后二,直选单式,"12,12,13,21,81",2,1
后二,直选和值,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18,1,1
后二,跨度,0 1 2 3 4 5 6 7 8 9,3,1
后二,组选复式,0 1 2 3 4 5 6 7 8 9,2,1
后二,组选单式,"15,58,68,96,18",4,1
后二,组选和值,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17,5,1
后二,组选包胆,8,3,1
前三,复式,"0 1 2 3 4 5 6 7 8 9,0 1 2 3 4 5 6 7 8 9,0 1 2 3 4 5 6 7 8 9",3,1
前三,单式,"123,123,321,801,118,000",1,1
前三,直选和值,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27,1,1
前三,跨度,0 1 2 3 4 5 6 7 8 9,1,1
前三,组选和值,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26,5,1
前三,组三,0 1 2 3 4 5 6 7 8 9,4,1
前三,组六,0 1 2 3 4 5 6 7 8 9,2,1
前三,混合组选,"218,181,312,132,231",3,1
前三,组选包胆,8,4,1
前三,组三单式,118,3,1
前三,组六单式,821,2,1
前三,一码不定位,0 1 2 3 4 5 6 7 8 9,1,1
前三,二码不定位,0 1 2 3 4 5 6 7 8 9,4,1
中三,复式,"0 1 2 3 4 5 6 7 8 9,0 1 2 3 4 5 6 7 8 9,0 1 2 3 4 5 6 7 8 9",5,1
中三,单式,"456,115",2,1
中三,直选和值,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27,3,1
中三,跨度,0 1 2 3 4 5 6 7 8 9,5,1
中三,组选和值,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26,4,1
中三,组三,0 1 2 3 4 5 6 7 8 9,2,1
中三,组六,0 1 2 3 4 5 6 7 8 9,1,1
中三,混合组选,151,3,1
中三,组选包胆,5,5,1
中三,组三单式,151,4,1
中三,组六单式,125,5,1
中三,一码不定位,0 1 2 3 4 5 6 7 8 9,4,1
中三,二码不定位,0 1 2 3 4 5 6 7 8 9,2,1
后三,复式,"0 1 2 3 4 5 6 7 8 9,0 1 2 3 4 5 6 7 8 9,0 1 2 3 4 5 6 7 8 9",3,1
后三,单式,158,1,1
后三,直选和值,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27,2,1
后三,跨度,0 1 2 3 4 5 6 7 8 9,1,1
后三,组选和值,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26,2,1
后三,组三,0 1 2 3 4 5 6 7 8 9,1,1
后三,组六,0 1 2 3 4 5 6 7 8 9,2,1
后三,混合组选,518,3,1
后三,组选包胆,8,1,1
后三,组三单式,855,2,1
后三,组六单式,185,3,1
后三,一码不定位,0 1 2 3 4 5 6 7 8 9,3,1
后三,二码不定位,0 1 2 3 4 5 6 7 8 9,3,1
四星,复式,"0 1 2 3 4 5 6 7 8 9,0 1 2 3 4 5 6 7 8 9,0 1 2 3 4 5 6 7 8 9,0 1 2 3 4 5 6 7 8 9",1,1
四星,单式,1158,2,1
四星,组选24,0 1 2 3 4 5 6 7 8 9,5,1
四星,组选12,"0 1 2 3 4 5 6 7 8 9,0 1 2 3 4 5 6 7 8 9",4,1
四星,组选6,0 1 2 3 4 5 6 7 8 9,1,1
四星,组选4,"0 1 2 3 4 5 6 7 8 9,0 1 2 3 4 5 6 7 8 9",2,1
四星,一码不定位,0 1 2 3 4 5 6 7 8 9,3,1
四星,二码不定位,0 1 2 3 4 5 6 7 8 9,1,1
五星,复式,"1 2 3 4 7 8 9,1 2 3 4 5 6 7 9,0 1 2 3 5 6 7 8,0 2 3 4 6 7 8,0 1 2 4 5 6 8",1,1
五星,单式,"122,128,511,881,158",3,1
五星,组选120,0 1 2 3 4 5 6 7 8 9,1,1
五星,组选60,"0 1 2 3 4 5 6 7 8 9,0 1 2 3 4 5 6 7 8 9",2,1
五星,组选30,"0 1 2 3 4 5 6 7 8 9,0 1 2 3 4 5 6 7 8 9",1,1
五星,组选20,"0 1 2 3 4 5 6 7 8 9,0 1 2 3 4 5 6 7 8 9",3,1
五星,组选10,"0 1 2 3 4 5 6 7 8 9,0 1 2 3 4 5 6 7 8 9",2,1
五星,组选5,"0 1 2 3 4 5 6 7 8 9,0 1 2 3 4 5 6 7 8 9",3,1
五星,一码不定位,0 1 2 3 4 5 6 7 8 9,2,1
五星,二码不定位,0 1 2 3 4 5 6 7 8 9,4,1
五星,三码不定位,0 1 2 3 4 5 6 7 8 9,3,1
五星,一帆风顺,0 1 2 3 4 5 6 7 8 9,4,1
五星,好事成双,0 1 2 3 4 5 6 7 8 9,2,1
五星,三星报喜,0 1 2 3 4 5 6 7 8 9,4,1
五星,四季发财,0 1 2 3 4 5 6 7 8 9,3,1
大小单双,前二,"大 小 单 双,大 小 单 双",5,1
大小单双,后二,"大 小 单 双,大 小 单 双",1,1
大小单双,前三,"大 小 单 双,大 小 单 双,大 小 单 双",2,1
大小单双,后三,"大 小 单 双,大 小 单 双,大 小 单 双",3,1
两面,两面,"和大 和小 和单 和双,大 小 单 双 质 合,大 小 单 双 质 合,大 小 单 双 质 合,大 小 单 双 质 合,大 小 单 双 质 合",1,1
龙虎斗,龙虎斗,"龙 虎 和,龙 虎 和,龙 虎 和,龙 虎 和,龙 虎 和,龙 虎 和,龙 虎 和,龙 虎 和,龙 虎 和,龙 虎 和",1,2
猜豹子,猜豹子,0 1 2 3 4 5 6 7 8 9,3,1
