AllResult;SumOfWinNum
0,0,0,0,0;361001.66
0,0,0,0,1;211588.71
0,0,0,0,2;211588.71
0,0,0,0,3;211588.71
0,0,0,0,4;211588.71
0,0,0,0,5;211588.71
0,0,0,0,6;211588.71
0,0,0,0,7;211588.71
0,0,0,0,8;212199.855
0,0,0,0,9;211588.71
0,0,0,1,0;215140.075
0,0,0,1,1;119110.335
0,0,0,1,2;114152.79
0,0,0,1,3;114152.79
0,0,0,1,4;113766.79
0,0,0,1,5;114152.79
0,0,0,1,6;113766.79
0,0,0,1,7;113766.79
0,0,0,1,8;114763.935
0,0,0,1,9;113766.79
0,0,0,2,0;215140.075
0,0,0,2,1;114152.79
0,0,0,2,2;119110.335
0,0,0,2,3;113766.79
0,0,0,2,4;113766.79
0,0,0,2,5;113766.79
0,0,0,2,6;113766.79
0,0,0,2,7;113766.79
0,0,0,2,8;114377.935
0,0,0,2,9;113766.79
0,0,0,3,0;215140.075
0,0,0,3,1;113766.79
0,0,0,3,2;113766.79
0,0,0,3,3;119110.335
0,0,0,3,4;113766.79
0,0,0,3,5;113766.79
0,0,0,3,6;113766.79
0,0,0,3,7;113766.79
0,0,0,3,8;114377.935
0,0,0,3,9;113766.79
0,0,0,4,0;215140.075
0,0,0,4,1;113766.79
0,0,0,4,2;113766.79
0,0,0,4,3;113766.79
0,0,0,4,4;119110.335
0,0,0,4,5;113766.79
0,0,0,4,6;113766.79
0,0,0,4,7;113766.79
0,0,0,4,8;114377.935
0,0,0,4,9;113766.79
0,0,0,5,0;216748.3
0,0,0,5,1;115761.015
0,0,0,5,2;115375.015
0,0,0,5,3;115375.015
0,0,0,5,4;115375.015
0,0,0,5,5;120718.56
0,0,0,5,6;115375.015
0,0,0,5,7;115375.015
0,0,0,5,8;116372.16
0,0,0,5,9;115375.015
0,0,0,6,0;215140.075
0,0,0,6,1;113766.79
0,0,0,6,2;113766.79
0,0,0,6,3;113766.79
0,0,0,6,4;113766.79
0,0,0,6,5;113766.79
0,0,0,6,6;119110.335
0,0,0,6,7;113766.79
0,0,0,6,8;114763.935
0,0,0,6,9;114152.79
0,0,0,7,0;215140.075
0,0,0,7,1;113766.79
0,0,0,7,2;113766.79
0,0,0,7,3;113766.79
0,0,0,7,4;113766.79
0,0,0,7,5;113766.79
0,0,0,7,6;113766.79
0,0,0,7,7;119110.335
0,0,0,7,8;114377.935
0,0,0,7,9;113766.79
0,0,0,8,0;215751.22
0,0,0,8,1;115149.935
0,0,0,8,2;114377.935
0,0,0,8,3;114377.935
0,0,0,8,4;114377.935
0,0,0,8,5;114763.935
0,0,0,8,6;114763.935
0,0,0,8,7;114377.935
0,0,0,8,8;119431.98
0,0,0,8,9;114377.935
0,0,0,9,0;215140.075
0,0,0,9,1;113766.79
0,0,0,9,2;113766.79
0,0,0,9,3;113766.79
0,0,0,9,4;113766.79
0,0,0,9,5;113766.79
0,0,0,9,6;114152.79
0,0,0,9,7;113766.79
0,0,0,9,8;114377.935
0,0,0,9,9;119110.335
0,0,1,0,0;219890.8
0,0,1,0,1;125212.06
0,0,1,0,2;119193.015
0,0,1,0,3;119193.015
0,0,1,0,4;119193.015
0,0,1,0,5;119193.015
0,0,1,0,6;119193.015
0,0,1,0,7;119193.015
0,0,1,0,8;120125.805
0,0,1,0,9;119193.015
0,0,1,1,0;125212.06
0,0,1,1,1;130841.425
0,0,1,1,2;96137.25
0,0,1,1,3;96137.25
0,0,1,1,4;95751.25
0,0,1,1,5;96137.25
0,0,1,1,6;95751.25
0,0,1,1,7;95751.25
0,0,1,1,8;97070.04
0,0,1,1,9;95751.25
0,0,1,2,0;118399.4
0,0,1,2,1;95343.635
0,0,1,2,2;94282.135
0,0,1,2,3;93378.66
0,0,1,2,4;93378.66
0,0,1,2,5;93378.66
0,0,1,2,6;93378.66
0,0,1,2,7;93378.66
0,0,1,2,8;94311.45
0,0,1,2,9;93378.66
0,0,1,3,0;118399.4
0,0,1,3,1;94957.635
0,0,1,3,2;93378.66
0,0,1,3,3;94282.135
0,0,1,3,4;93378.66
0,0,1,3,5;93378.66
0,0,1,3,6;93378.66
0,0,1,3,7;93378.66
0,0,1,3,8;94311.45
0,0,1,3,9;93378.66
0,0,1,4,0;118399.4
0,0,1,4,1;94957.635
0,0,1,4,2;93378.66
0,0,1,4,3;93378.66
0,0,1,4,4;94282.135
0,0,1,4,5;93378.66
0,0,1,4,6;93378.66
0,0,1,4,7;93378.66
0,0,1,4,8;94311.45
0,0,1,4,9;93378.66
0,0,1,5,0;121615.85
